game_id,event_id,gender,season,date_utc,league_group,team_home_id,team_away_id,home_team_name,away_team_name,home_score,away_score
men|2025-2026|G00000|men_ORCH_orchard-hill-college-mariners|men_VINE_vinewood-a-m-timberwolves,G00000,men,2025-2026,2025-11-05 19:30:00+0000,non-conference,men_ORCH_orchard-hill-college-mariners,men_VINE_vinewood-a-m-timberwolves,Orchard Hill College,Vinewood A&M,78,62
men|2025-2026|G00003|men_IVYP_ivyport-university-sabers|men_KIRK_kirkmont-state-ravens,G00003,men,2025-2026,2025-11-18 22:30:00+0000,Atlantic Ridge,men_IVYP_ivyport-university-sabers,men_KIRK_kirkmont-state-ravens,Ivyport University,Kirkmont State,80,75
men|2025-2026|G00009|men_VINE_vinewood-a-m-timberwolves|men_KING_kingsmoor-poly-ironmen,G00009,men,2025-2026,2025-12-09 22:00:00+0000,Coastal Eight,men_VINE_vinewood-a-m-timberwolves,men_KING_kingsmoor-poly-ironmen,Vinewood A&M,Kingsmoor Poly,82,74
men|2025-2026|G00002|men_KIRK_kirkmont-state-ravens|men_VELL_vellmont-tech-cyclones,G00002,men,2025-2026,2025-12-28 17:00:00+0000,non-conference,men_KIRK_kirkmont-state-ravens,men_VELL_vellmont-tech-cyclones,Kirkmont State,Vellmont Tech,54,79
men|2025-2026|G00006|men_VINE_vinewood-a-m-timberwolves|men_KING_kingsmoor-poly-ironmen,G00006,men,2025-2026,2026-01-07 18:30:00+0000,Coastal Eight,men_VINE_vinewood-a-m-timberwolves,men_KING_kingsmoor-poly-ironmen,Vinewood A&M,Kingsmoor Poly,77,64
men|2025-2026|G00001|men_IVYP_ivyport-university-sabers|men_KIRK_kirkmont-state-ravens,G00001,men,2025-2026,2026-01-17 21:30:00+0000,Atlantic Ridge,men_IVYP_ivyport-university-sabers,men_KIRK_kirkmont-state-ravens,Ivyport University,Kirkmont State,69,65
men|2025-2026|G00008|men_KIRK_kirkmont-state-ravens|men_IVYP_ivyport-university-sabers,G00008,men,2025-2026,2026-02-06 19:30:00+0000,Atlantic Ridge,men_KIRK_kirkmont-state-ravens,men_IVYP_ivyport-university-sabers,Kirkmont State,Ivyport University,64,67
men|2025-2026|G00007|men_KING_kingsmoor-poly-ironmen|men_VINE_vinewood-a-m-timberwolves,G00007,men,2025-2026,2026-02-11 18:30:00+0000,Coastal Eight,men_KING_kingsmoor-poly-ironmen,men_VINE_vinewood-a-m-timberwolves,Kingsmoor Poly,Vinewood A&M,75,79
men|2025-2026|G00005|men_KIRK_kirkmont-state-ravens|men_VINE_vinewood-a-m-timberwolves,G00005,men,2025-2026,2026-02-24 19:30:00+0000,non-conference,men_KIRK_kirkmont-state-ravens,men_VINE_vinewood-a-m-timberwolves,Kirkmont State,Vinewood A&M,78,75
men|2025-2026|G00004|men_VELL_vellmont-tech-cyclones|men_KING_kingsmoor-poly-ironmen,G00004,men,2025-2026,2026-03-05 21:00:00+0000,non-conference,men_VELL_vellmont-tech-cyclones,men_KING_kingsmoor-poly-ironmen,Vellmont Tech,Kingsmoor Poly,75,62
