author_id,author_username,home_team_id,followed_team_ids
u_000000,hoops_guy1626,men_VINE_vinewood-a-m-timberwolves,men_VINE_vinewood-a-m-timberwolves|men_KING_kingsmoor-poly-ironmen|men_ORCH_orchard-hill-college-mariners|men_VELL_vellmont-tech-cyclones
u_000001,glasscleaner_watcher252,men_KIRK_kirkmont-state-ravens,men_KIRK_kirkmont-state-ravens|men_IVYP_ivyport-university-sabers
u_000002,rimrun_nerd9811,men_KIRK_kirkmont-state-ravens,men_KIRK_kirkmont-state-ravens
u_000003,hardwood_sicko4042,men_VINE_vinewood-a-m-timberwolves,men_VINE_vinewood-a-m-timberwolves|men_KING_kingsmoor-poly-ironmen
u_000004,swish_sicko3079,men_VELL_vellmont-tech-cyclones,men_VELL_vellmont-tech-cyclones|men_ORCH_orchard-hill-college-mariners
u_000005,boxout_sicko5932,men_KIRK_kirkmont-state-ravens,men_KIRK_kirkmont-state-ravens|men_IVYP_ivyport-university-sabers
u_000006,pumpfake_enjoyer5171,men_KING_kingsmoor-poly-ironmen,men_KING_kingsmoor-poly-ironmen|men_VINE_vinewood-a-m-timberwolves
u_000007,crossover_truther2559,men_ORCH_orchard-hill-college-mariners,men_ORCH_orchard-hill-college-mariners|men_VELL_vellmont-tech-cyclones
u_000008,glasscleaner_fan8736,men_VINE_vinewood-a-m-timberwolves,men_VINE_vinewood-a-m-timberwolves|men_KING_kingsmoor-poly-ironmen
u_000009,fastbreak_diehard4123,men_IVYP_ivyport-university-sabers,men_IVYP_ivyport-university-sabers
u_000010,backdoorcut_nerd5635,men_IVYP_ivyport-university-sabers,men_IVYP_ivyport-university-sabers|men_KIRK_kirkmont-state-ravens
u_000011,pumpfake_diehard867,men_IVYP_ivyport-university-sabers,men_IVYP_ivyport-university-sabers|men_KIRK_kirkmont-state-ravens
u_000012,fastbreak_guy8149,men_KING_kingsmoor-poly-ironmen,men_KING_kingsmoor-poly-ironmen|men_VINE_vinewood-a-m-timberwolves
u_000013,benchmob_analyst7984,men_VELL_vellmont-tech-cyclones,men_VELL_vellmont-tech-cyclones|men_ORCH_orchard-hill-college-mariners
u_000014,rimrun_enjoyer1487,men_KIRK_kirkmont-state-ravens,men_KIRK_kirkmont-state-ravens|men_IVYP_ivyport-university-sabers
