comment_id,qwen_abusive,llama_abusive,abusive_either,abusive_both,abuse_priority,entity_count,n_words
c_0000000,False,False,False,False,0,1,10
c_0000001,False,True,True,False,1,1,11
c_0000002,False,False,False,False,0,2,22
c_0000003,False,False,False,False,0,2,20
c_0000004,False,True,True,False,1,1,12
c_0000005,False,False,False,False,0,1,13
c_0000006,True,True,True,True,3,1,11
c_0000007,False,False,False,False,0,1,9
c_0000008,False,False,False,False,0,1,11
c_0000009,False,False,False,False,0,1,14
c_0000010,False,False,False,False,0,1,10
c_0000011,False,False,False,False,0,3,31
c_0000012,False,False,False,False,0,2,23
c_0000013,False,False,False,False,0,2,21
c_0000014,False,False,False,False,0,1,8
c_0000015,False,False,False,False,0,2,20
c_0000016,True,False,True,False,2,2,22
c_0000017,False,False,False,False,0,2,20
c_0000018,False,False,False,False,0,2,21
c_0000019,False,False,False,False,0,2,21
c_0000020,False,True,True,False,1,1,15
c_0000021,False,False,False,False,0,1,10
c_0000022,False,False,False,False,0,1,12
c_0000023,False,False,False,False,0,2,20
c_0000024,False,False,False,False,0,1,11
c_0000025,False,False,False,False,0,3,28
c_0000026,False,False,False,False,0,1,12
c_0000027,False,False,False,False,0,3,31
c_0000028,False,False,False,False,0,1,10
c_0000029,False,False,False,False,0,1,9
c_0000030,False,False,False,False,0,2,19
c_0000031,False,True,True,False,1,1,13
c_0000032,False,True,True,False,1,1,11
c_0000033,False,False,False,False,0,1,12
c_0000034,False,False,False,False,0,2,21
c_0000035,False,False,False,False,0,2,21
c_0000036,False,False,False,False,0,1,13
c_0000037,False,False,False,False,0,1,10
c_0000038,False,False,False,False,0,1,12
c_0000039,False,False,False,False,0,1,11
c_0000040,False,False,False,False,0,1,12
c_0000041,False,False,False,False,0,5,48
c_0000042,True,True,True,True,3,1,12
c_0000043,False,False,False,False,0,1,10
c_0000044,False,False,False,False,0,3,33
c_0000045,False,False,False,False,0,1,12
c_0000046,False,False,False,False,0,1,12
c_0000047,False,False,False,False,0,2,24
c_0000048,False,False,False,False,0,1,9
c_0000049,False,False,False,False,0,1,12
c_0000050,False,False,False,False,0,1,13
c_0000051,True,False,True,False,2,1,12
c_0000052,False,False,False,False,0,1,10
c_0000053,False,False,False,False,0,1,12
c_0000054,True,True,True,True,3,1,11
c_0000055,False,False,False,False,0,1,12
c_0000056,False,False,False,False,0,4,43
c_0000057,False,False,False,False,0,2,20
c_0000058,False,False,False,False,0,1,13
c_0000059,False,False,False,False,0,1,10
c_0000060,False,False,False,False,0,1,10
c_0000061,False,False,False,False,0,1,13
c_0000062,False,False,False,False,0,2,22
c_0000063,True,True,True,True,3,1,10
c_0000064,False,False,False,False,0,2,23
c_0000065,False,False,False,False,0,2,20
c_0000066,False,False,False,False,0,1,10
c_0000067,False,False,False,False,0,2,21
c_0000068,False,False,False,False,0,2,20
c_0000069,False,False,False,False,0,1,13
c_0000070,False,False,False,False,0,2,22
c_0000071,True,True,True,True,3,1,10
c_0000072,True,True,True,True,3,1,13
c_0000073,False,False,False,False,0,1,11
c_0000074,False,False,False,False,0,5,50
c_0000075,False,False,False,False,0,2,21
c_0000076,False,False,False,False,0,1,9
c_0000077,False,False,False,False,0,1,12
c_0000078,False,False,False,False,0,2,23
c_0000079,False,False,False,False,0,2,21
c_0000080,False,False,False,False,0,2,21
c_0000081,False,False,False,False,0,1,12
c_0000082,False,False,False,False,0,1,11
c_0000083,False,False,False,False,0,1,13
c_0000084,False,False,False,False,0,1,10
c_0000085,False,False,False,False,0,1,9
c_0000086,False,False,False,False,0,1,11
c_0000087,False,True,True,False,1,2,21
c_0000088,False,False,False,False,0,1,12
c_0000089,False,False,False,False,0,2,18
c_0000090,False,False,False,False,0,4,38
c_0000091,False,False,False,False,0,2,24
c_0000092,False,False,False,False,0,1,13
c_0000093,False,True,True,False,1,2,19
c_0000094,False,False,False,False,0,1,9
c_0000095,False,False,False,False,0,2,20
c_0000096,False,False,False,False,0,1,13
c_0000097,False,False,False,False,0,1,9
c_0000098,False,False,False,False,0,1,12
c_0000099,False,False,False,False,0,1,10
c_0000100,False,False,False,False,0,1,11
c_0000101,False,False,False,False,0,2,21
c_0000102,False,True,True,False,1,1,9
c_0000103,False,False,False,False,0,2,23
c_0000104,False,False,False,False,0,2,20
c_0000105,False,False,False,False,0,1,13
c_0000106,False,False,False,False,0,1,13
c_0000107,False,False,False,False,0,1,12
c_0000108,False,False,False,False,0,1,10
c_0000109,False,False,False,False,0,2,24
c_0000110,False,False,False,False,0,1,12
c_0000111,False,False,False,False,0,1,9
c_0000112,False,False,False,False,0,1,13
c_0000113,False,False,False,False,0,2,21
c_0000114,False,False,False,False,0,1,10
c_0000115,False,False,False,False,0,1,12
c_0000116,False,True,True,False,1,1,10
c_0000117,False,False,False,False,0,1,11
c_0000118,False,False,False,False,0,1,11
c_0000119,False,False,False,False,0,1,12
c_0000120,False,False,False,False,0,2,21
c_0000121,True,True,True,True,3,1,11
c_0000122,False,False,False,False,0,2,21
c_0000123,False,False,False,False,0,1,12
c_0000124,False,False,False,False,0,1,12
c_0000125,False,False,False,False,0,1,13
c_0000126,False,True,True,False,1,5,55
c_0000127,False,False,False,False,0,1,9
c_0000128,False,True,True,False,1,1,10
c_0000129,False,False,False,False,0,2,23
c_0000130,False,False,False,False,0,1,12
c_0000131,False,False,False,False,0,2,22
c_0000132,False,False,False,False,0,2,21
c_0000133,False,False,False,False,0,1,11
c_0000134,False,False,False,False,0,1,10
c_0000135,False,False,False,False,0,1,11
c_0000136,False,False,False,False,0,1,11
c_0000137,False,False,False,False,0,1,11
c_0000138,False,False,False,False,0,3,30
c_0000139,False,False,False,False,0,1,12
c_0000140,False,False,False,False,0,1,13
c_0000141,False,False,False,False,0,2,24
c_0000142,False,False,False,False,0,1,9
c_0000143,False,False,False,False,0,1,11
c_0000144,False,False,False,False,0,1,12
c_0000145,False,False,False,False,0,2,22
c_0000146,False,False,False,False,0,1,12
c_0000147,False,False,False,False,0,1,13
c_0000148,False,False,False,False,0,2,24
c_0000149,False,False,False,False,0,2,19
c_0000150,False,False,False,False,0,1,11
c_0000151,False,True,True,False,1,1,15
c_0000152,False,False,False,False,0,1,11
c_0000153,False,False,False,False,0,1,11
c_0000154,False,False,False,False,0,1,12
c_0000155,False,False,False,False,0,2,22
c_0000156,False,False,False,False,0,1,10
c_0000157,False,False,False,False,0,1,12
c_0000158,False,False,False,False,0,1,12
c_0000159,False,False,False,False,0,1,11
c_0000160,False,False,False,False,0,1,10
c_0000161,False,False,False,False,0,1,12
c_0000162,False,False,False,False,0,1,8
c_0000163,False,False,False,False,0,1,13
c_0000164,False,False,False,False,0,3,33
c_0000165,False,False,False,False,0,2,22
c_0000166,False,False,False,False,0,1,10
c_0000167,False,False,False,False,0,1,9
c_0000168,False,False,False,False,0,1,11
c_0000169,False,False,False,False,0,1,10
c_0000170,False,False,False,False,0,1,13
c_0000171,False,False,False,False,0,1,11
c_0000172,False,False,False,False,0,1,13
c_0000173,True,True,True,True,3,1,10
c_0000174,False,False,False,False,0,1,11
c_0000175,False,False,False,False,0,2,24
c_0000176,False,False,False,False,0,1,10
c_0000177,False,True,True,False,1,1,14
c_0000178,False,False,False,False,0,1,13
c_0000179,True,True,True,True,3,1,15
c_0000180,True,True,True,True,3,2,22
c_0000181,False,False,False,False,0,1,13
c_0000182,False,False,False,False,0,1,11
c_0000183,False,False,False,False,0,1,12
c_0000184,False,False,False,False,0,2,23
c_0000185,False,True,True,False,1,1,11
c_0000186,False,False,False,False,0,1,11
c_0000187,False,False,False,False,0,1,12
c_0000188,False,True,True,False,1,3,33
