comment_id,entity_id,entity_text,entity_type,target_id,target_team_id,is_abusive,insult_derogation,profanity_obscene,sexual_harassment,wish_of_harm,is_severe_abuse,threat,religious_hate,race_hate,gender_hate,motive_performance,motive_coaching,motive_fandom_rivalry,motive_appearance,motive_injury,motive_officiating,motive_personal_life,motive_gambling,sarcasm,humor,implicit_target,quotation_reported_speech,interpretation_needs_history,target_recoverable_from_history,target_id_unknown,diff_profanity,diff_meaning_shift,diff_reference_complexity,diff_common_words
c_0000000,e_00000000,Terrance Wickham,player NCAA,2025-2026:men:men_VINE_vinewood-a-m-timberwolves:terrance-wickham,men_VINE_vinewood-a-m-timberwolves,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,False,False,False,False
c_0000000,e_00000001,Xavier Jimenez,player NCAA,2025-2026:men:men_VINE_vinewood-a-m-timberwolves:xavier-jimenez,men_VINE_vinewood-a-m-timberwolves,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,False,False,False,False
c_0000001,e_00000002,Ivan Nystrom,player NCAA,2025-2026:men:men_KIRK_kirkmont-state-ravens:ivan-nystrom,men_KIRK_kirkmont-state-ravens,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,False,False,False,False
c_0000002,e_00000003,Gideon Ustinov,player NCAA,2025-2026:men:men_IVYP_ivyport-university-sabers:gideon-ustinov,men_IVYP_ivyport-university-sabers,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,False,False,False,False
c_0000003,e_00000004,Xavier Duvalier,player NCAA,2025-2026:men:men_KING_kingsmoor-poly-ironmen:xavier-duvalier,men_KING_kingsmoor-poly-ironmen,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,PARENT,YES,NO,False,False,True,False
c_0000003,e_00000005,Emeka Wexler,player NCAA,2025-2026:men:men_ORCH_orchard-hill-college-mariners:emeka-wexler,men_ORCH_orchard-hill-college-mariners,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,False,False,False,False
c_0000003,e_00000006,Hector Jimenez,player NCAA,2025-2026:men:men_ORCH_orchard-hill-college-mariners:hector-jimenez,men_ORCH_orchard-hill-college-mariners,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,False,False,False,False
c_0000004,e_00000007,Gideon Ustinov,player NCAA,2025-2026:men:men_IVYP_ivyport-university-sabers:gideon-ustinov,men_IVYP_ivyport-university-sabers,YES,YES,NO,NO,YES,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,False,False,False,False
c_0000005,e_00000008,Gideon Ustinov,player NCAA,2025-2026:men:men_IVYP_ivyport-university-sabers:gideon-ustinov,men_IVYP_ivyport-university-sabers,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,False,False,False,False
c_0000006,e_00000009,Gideon Ustinov,player NCAA,2025-2026:men:men_IVYP_ivyport-university-sabers:gideon-ustinov,men_IVYP_ivyport-university-sabers,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,False,False,False,False
c_0000007,e_00000010,Ivan Nystrom,player NCAA,2025-2026:men:men_KIRK_kirkmont-state-ravens:ivan-nystrom,men_KIRK_kirkmont-state-ravens,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,False,True,False,False
c_0000008,e_00000011,Xavier Duvalier,player NCAA,2025-2026:men:men_KING_kingsmoor-poly-ironmen:xavier-duvalier,men_KING_kingsmoor-poly-ironmen,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,False,False,False,False
c_0000008,e_00000012,Franklin Kowalczyk,player NCAA,2025-2026:men:men_IVYP_ivyport-university-sabers:franklin-kowalczyk,men_IVYP_ivyport-university-sabers,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,False,False,False,False
c_0000009,e_00000013,Xavier Duvalier,player NCAA,2025-2026:men:men_KING_kingsmoor-poly-ironmen:xavier-duvalier,men_KING_kingsmoor-poly-ironmen,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,False,False,False,False
c_0000010,e_00000014,Gideon Ustinov,player NCAA,2025-2026:men:men_IVYP_ivyport-university-sabers:gideon-ustinov,men_IVYP_ivyport-university-sabers,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,False,False,False,False
c_0000011,e_00000015,Ivan Nystrom,player NCAA,2025-2026:men:men_KIRK_kirkmont-state-ravens:ivan-nystrom,men_KIRK_kirkmont-state-ravens,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,False,False,False,False
c_0000012,e_00000016,Bennett Whitlock,player NCAA,2025-2026:men:men_KIRK_kirkmont-state-ravens:bennett-whitlock,men_KIRK_kirkmont-state-ravens,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO,False,True,False,True
c_0000012,e_00000017,Darius Quiroga,player NCAA,2025-2026:men:men_IVYP_ivyport-university-sabers:darius-quiroga,men_IVYP_ivyport-university-sabers,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,False,False,False,False
c_0000013,e_00000018,Gideon Ustinov,player NCAA,2025-2026:men:men_IVYP_ivyport-university-sabers:gideon-ustinov,men_IVYP_ivyport-university-sabers,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,False,False,False,False
c_0000014,e_00000019,Xavier Duvalier,player NCAA,2025-2026:men:men_KING_kingsmoor-poly-ironmen:xavier-duvalier,men_KING_kingsmoor-poly-ironmen,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,False,False,False,False
c_0000015,e_00000020,Gideon Ustinov,player NCAA,2025-2026:men:men_IVYP_ivyport-university-sabers:gideon-ustinov,men_IVYP_ivyport-university-sabers,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,False,False,False,False
c_0000016,e_00000021,Ivan Nystrom,player NCAA,2025-2026:men:men_KIRK_kirkmont-state-ravens:ivan-nystrom,men_KIRK_kirkmont-state-ravens,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,True,False,False,False
c_0000017,e_00000022,Xavier Duvalier,player NCAA,2025-2026:men:men_KING_kingsmoor-poly-ironmen:xavier-duvalier,men_KING_kingsmoor-poly-ironmen,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,ROOT_SUBMISSION,YES,NO,False,False,True,False
c_0000018,e_00000023,Xavier Duvalier,player NCAA,2025-2026:men:men_KING_kingsmoor-poly-ironmen:xavier-duvalier,men_KING_kingsmoor-poly-ironmen,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,False,False,False,False
c_0000018,e_00000024,Xavier Jimenez,player NCAA,2025-2026:men:men_VINE_vinewood-a-m-timberwolves:xavier-jimenez,men_VINE_vinewood-a-m-timberwolves,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,False,False,False,False
c_0000019,e_00000025,Gideon Ustinov,player NCAA,2025-2026:men:men_IVYP_ivyport-university-sabers:gideon-ustinov,men_IVYP_ivyport-university-sabers,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,False,False,False,False
c_0000020,e_00000026,Ivan Nystrom,player NCAA,2025-2026:men:men_KIRK_kirkmont-state-ravens:ivan-nystrom,men_KIRK_kirkmont-state-ravens,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,False,False,False,False
c_0000021,e_00000027,Darius Quiroga,player NCAA,2025-2026:men:men_IVYP_ivyport-university-sabers:darius-quiroga,men_IVYP_ivyport-university-sabers,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,False,False,False,False
c_0000021,e_00000028,Franklin Kowalczyk,player NCAA,2025-2026:men:men_IVYP_ivyport-university-sabers:franklin-kowalczyk,men_IVYP_ivyport-university-sabers,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,False,False,False,False
c_0000021,e_00000029,Preston Rutherford,player NCAA,2025-2026:men:men_KIRK_kirkmont-state-ravens:preston-rutherford,men_KIRK_kirkmont-state-ravens,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,False,False,False,True
