comment_id,qwen_abusive,llama_abusive,abusive_either,abusive_both,abuse_priority,entity_count,n_words
c_0000000,False,False,False,False,0,2,20
c_0000001,True,True,True,True,3,1,11
c_0000002,True,True,True,True,3,1,9
c_0000003,False,False,False,False,0,3,32
c_0000004,False,True,True,False,1,1,12
c_0000005,False,True,True,False,1,1,12
c_0000006,False,False,False,False,0,1,12
c_0000007,True,True,True,True,3,1,13
c_0000008,False,False,False,False,0,2,20
c_0000009,False,False,False,False,0,1,12
c_0000010,False,True,True,False,1,1,12
c_0000011,False,True,True,False,1,1,12
c_0000012,False,False,False,False,0,2,24
c_0000013,False,True,True,False,1,1,8
c_0000014,False,False,False,False,0,1,11
c_0000015,False,False,False,False,0,1,12
c_0000016,False,False,False,False,0,1,10
c_0000017,False,True,True,False,1,1,12
c_0000018,False,False,False,False,0,2,22
c_0000019,True,True,True,True,3,1,11
c_0000020,True,False,True,False,2,1,11
c_0000021,False,False,False,False,0,3,31
c_0000022,False,False,False,False,0,1,9
c_0000023,False,False,False,False,0,5,54
c_0000024,False,False,False,False,0,1,11
c_0000025,False,False,False,False,0,2,22
c_0000026,False,False,False,False,0,2,23
c_0000027,False,True,True,False,1,1,10
c_0000028,True,True,True,True,3,1,11
c_0000029,False,True,True,False,1,1,11
c_0000030,True,False,True,False,2,2,26
c_0000031,True,True,True,True,3,1,11
c_0000032,False,False,False,False,0,1,11
c_0000033,False,False,False,False,0,2,22
c_0000034,False,False,False,False,0,1,12
c_0000035,False,False,False,False,0,2,20
c_0000036,True,False,True,False,2,1,11
c_0000037,False,True,True,False,1,1,11
c_0000038,False,False,False,False,0,2,19
c_0000039,False,False,False,False,0,1,12
c_0000040,False,False,False,False,0,2,21
c_0000041,False,False,False,False,0,1,12
c_0000042,False,False,False,False,0,1,9
c_0000043,True,False,True,False,2,1,15
c_0000044,False,False,False,False,0,1,10
c_0000045,True,False,True,False,2,1,12
c_0000046,False,False,False,False,0,2,23
c_0000047,False,True,True,False,1,1,10
c_0000048,False,False,False,False,0,2,21
c_0000049,False,False,False,False,0,1,9
c_0000050,False,True,True,False,1,2,21
c_0000051,False,True,True,False,1,2,21
c_0000052,False,False,False,False,0,2,23
c_0000053,True,True,True,True,3,2,20
c_0000054,False,False,False,False,0,1,12
c_0000055,True,True,True,True,3,3,30
c_0000056,False,False,False,False,0,1,11
c_0000057,False,False,False,False,0,2,23
c_0000058,False,False,False,False,0,1,12
c_0000059,False,False,False,False,0,2,24
c_0000060,False,False,False,False,0,1,12
c_0000061,False,False,False,False,0,3,30
c_0000062,False,False,False,False,0,1,12
c_0000063,False,True,True,False,1,2,19
c_0000064,False,False,False,False,0,1,13
c_0000065,False,False,False,False,0,1,10
c_0000066,False,False,False,False,0,2,19
c_0000067,True,True,True,True,3,2,23
c_0000068,True,True,True,True,3,2,21
c_0000069,False,False,False,False,0,5,51
c_0000070,False,False,False,False,0,2,17
c_0000071,False,False,False,False,0,5,54
c_0000072,False,True,True,False,1,1,10
c_0000073,False,False,False,False,0,2,20
c_0000074,False,False,False,False,0,2,19
c_0000075,False,False,False,False,0,2,23
c_0000076,False,False,False,False,0,5,54
c_0000077,False,False,False,False,0,2,20
c_0000078,False,False,False,False,0,3,27
c_0000079,False,False,False,False,0,2,23
c_0000080,False,False,False,False,0,1,13
c_0000081,False,False,False,False,0,2,21
c_0000082,False,False,False,False,0,2,18
c_0000083,False,False,False,False,0,4,44
c_0000084,False,True,True,False,1,2,21
c_0000085,False,False,False,False,0,1,13
c_0000086,False,False,False,False,0,1,12
c_0000087,False,False,False,False,0,1,12
c_0000088,False,False,False,False,0,2,22
c_0000089,False,False,False,False,0,1,10
c_0000090,False,True,True,False,1,2,24
c_0000091,False,False,False,False,0,2,21
c_0000092,False,False,False,False,0,3,32
c_0000093,False,False,False,False,0,1,12
c_0000094,False,False,False,False,0,2,20
c_0000095,False,False,False,False,0,1,10
c_0000096,True,True,True,True,3,3,31
c_0000097,False,False,False,False,0,1,10
c_0000098,False,True,True,False,1,1,11
c_0000099,False,False,False,False,0,1,12
c_0000100,False,False,False,False,0,2,24
c_0000101,False,True,True,False,1,1,11
c_0000102,False,False,False,False,0,2,20
c_0000103,False,False,False,False,0,2,23
c_0000104,False,False,False,False,0,2,22
c_0000105,False,False,False,False,0,1,13
c_0000106,True,True,True,True,3,1,11
c_0000107,False,False,False,False,0,2,22
c_0000108,False,False,False,False,0,1,12
c_0000109,False,False,False,False,0,2,20
c_0000110,False,False,False,False,0,1,11
c_0000111,False,False,False,False,0,1,10
c_0000112,False,False,False,False,0,1,12
c_0000113,False,False,False,False,0,2,17
c_0000114,False,False,False,False,0,1,12
c_0000115,False,False,False,False,0,2,18
c_0000116,False,False,False,False,0,1,13
c_0000117,False,False,False,False,0,5,57
c_0000118,False,False,False,False,0,2,22
c_0000119,False,False,False,False,0,1,12
c_0000120,False,False,False,False,0,1,9
c_0000121,False,False,False,False,0,1,11
c_0000122,False,False,False,False,0,1,12
c_0000123,False,False,False,False,0,1,9
c_0000124,False,False,False,False,0,3,34
c_0000125,False,False,False,False,0,2,21
c_0000126,False,False,False,False,0,1,9
c_0000127,False,False,False,False,0,2,21
c_0000128,False,False,False,False,0,1,11
c_0000129,False,False,False,False,0,5,53
