author_id,author_username,home_team_id,followed_team_ids
u_000000,screenassist_truther7502,men_JUNI_juniper-ridge-a-m-timberwolves,men_JUNI_juniper-ridge-a-m-timberwolves|men_LAKE_lakeshore-poly-ironmen
u_000001,runnersup_hater3320,men_MARB_marbury-state-comets,men_MARB_marbury-state-comets|men_INGL_inglewood-bay-college-mariners|men_TIDE_tidewater-tech-cyclones
u_000002,zonebuster_analyst5343,men_DUNM_dunmore-foxes,men_DUNM_dunmore-foxes|men_WIND_windmere-state-ravens|men_GULL_gulliford-university-sabers
u_000003,hardwood_truther66,men_JUNI_juniper-ridge-a-m-timberwolves,men_JUNI_juniper-ridge-a-m-timberwolves|men_LAKE_lakeshore-poly-ironmen
u_000004,crossover_nerd7623,men_LAKE_lakeshore-poly-ironmen,men_LAKE_lakeshore-poly-ironmen|men_JUNI_juniper-ridge-a-m-timberwolves
u_000005,boxout_guy2338,men_WIND_windmere-state-ravens,men_WIND_windmere-state-ravens|men_GULL_gulliford-university-sabers|men_DUNM_dunmore-foxes
u_000006,cornerthree_guy2872,men_LAKE_lakeshore-poly-ironmen,men_LAKE_lakeshore-poly-ironmen
u_000007,screenassist_hype4310,men_LAKE_lakeshore-poly-ironmen,men_LAKE_lakeshore-poly-ironmen|men_JUNI_juniper-ridge-a-m-timberwolves
u_000008,tipoff_casual2459,men_LAKE_lakeshore-poly-ironmen,men_LAKE_lakeshore-poly-ironmen|men_JUNI_juniper-ridge-a-m-timberwolves
u_000009,hoops_fan2837,men_JUNI_juniper-ridge-a-m-timberwolves,men_JUNI_juniper-ridge-a-m-timberwolves|men_LAKE_lakeshore-poly-ironmen
u_000010,downtown_sicko3260,men_TIDE_tidewater-tech-cyclones,men_TIDE_tidewater-tech-cyclones|men_MARB_marbury-state-comets|men_INGL_inglewood-bay-college-mariners
u_000011,rimrun_casual9249,men_GULL_gulliford-university-sabers,men_GULL_gulliford-university-sabers|men_DUNM_dunmore-foxes|men_WIND_windmere-state-ravens
u_000012,boxout_casual9671,men_TIDE_tidewater-tech-cyclones,men_TIDE_tidewater-tech-cyclones|men_MARB_marbury-state-comets|men_INGL_inglewood-bay-college-mariners
u_000013,buckets_analyst5948,men_DUNM_dunmore-foxes,men_DUNM_dunmore-foxes|men_GULL_gulliford-university-sabers|men_WIND_windmere-state-ravens
u_000014,shotclock_sicko5262,men_WIND_windmere-state-ravens,men_WIND_windmere-state-ravens|men_DUNM_dunmore-foxes|men_GULL_gulliford-university-sabers
u_000015,screenassist_hype8701,men_GULL_gulliford-university-sabers,men_GULL_gulliford-university-sabers|men_WIND_windmere-state-ravens
u_000016,pickandroll_enjoyer4126,men_DUNM_dunmore-foxes,men_DUNM_dunmore-foxes|men_WIND_windmere-state-ravens|men_GULL_gulliford-university-sabers
u_000017,glasscleaner_sicko484,men_WIND_windmere-state-ravens,men_WIND_windmere-state-ravens|men_DUNM_dunmore-foxes|men_GULL_gulliford-university-sabers
u_000018,freethrow_nerd9850,men_GULL_gulliford-university-sabers,men_GULL_gulliford-university-sabers|men_DUNM_dunmore-foxes|men_WIND_windmere-state-ravens
u_000019,shotclock_truther4066,men_DUNM_dunmore-foxes,men_DUNM_dunmore-foxes|men_WIND_windmere-state-ravens|men_GULL_gulliford-university-sabers
u_000020,downtown_lifer29,men_JUNI_juniper-ridge-a-m-timberwolves,men_JUNI_juniper-ridge-a-m-timberwolves
u_000021,hardwood_casual6332,men_LAKE_lakeshore-poly-ironmen,men_LAKE_lakeshore-poly-ironmen|men_JUNI_juniper-ridge-a-m-timberwolves
u_000022,cornerthree_diehard7039,men_INGL_inglewood-bay-college-mariners,men_INGL_inglewood-bay-college-mariners|men_MARB_marbury-state-comets|men_TIDE_tidewater-tech-cyclones
u_000023,buckets_hype1335,men_GULL_gulliford-university-sabers,men_GULL_gulliford-university-sabers|men_WIND_windmere-state-ravens|men_DUNM_dunmore-foxes
u_000024,glasscleaner_diehard2270,men_TIDE_tidewater-tech-cyclones,men_TIDE_tidewater-tech-cyclones|men_INGL_inglewood-bay-college-mariners|men_MARB_marbury-state-comets
u_000025,buckets_sicko763,men_LAKE_lakeshore-poly-ironmen,men_LAKE_lakeshore-poly-ironmen|men_JUNI_juniper-ridge-a-m-timberwolves
u_000026,swish_hater8945,men_MARB_marbury-state-comets,men_MARB_marbury-state-comets|men_TIDE_tidewater-tech-cyclones|men_INGL_inglewood-bay-college-mariners
u_000027,tipoff_sicko4786,men_MARB_marbury-state-comets,men_MARB_marbury-state-comets|men_TIDE_tidewater-tech-cyclones|men_INGL_inglewood-bay-college-mariners
u_000028,tipoff_casual24,men_JUNI_juniper-ridge-a-m-timberwolves,men_JUNI_juniper-ridge-a-m-timberwolves|men_LAKE_lakeshore-poly-ironmen
u_000029,cornerthree_enjoyer1884,men_JUNI_juniper-ridge-a-m-timberwolves,men_JUNI_juniper-ridge-a-m-timberwolves|men_LAKE_lakeshore-poly-ironmen
u_000030,elbowjumper_poster5233,men_MARB_marbury-state-comets,men_MARB_marbury-state-comets|men_TIDE_tidewater-tech-cyclones|men_INGL_inglewood-bay-college-mariners
u_000031,freethrow_lifer9613,men_DUNM_dunmore-foxes,men_DUNM_dunmore-foxes|men_WIND_windmere-state-ravens|men_GULL_gulliford-university-sabers|men_JUNI_juniper-ridge-a-m-timberwolves|men_LAKE_lakeshore-poly-ironmen
u_000032,screenassist_fan2524,men_MARB_marbury-state-comets,men_MARB_marbury-state-comets|men_INGL_inglewood-bay-college-mariners|men_TIDE_tidewater-tech-cyclones|men_WIND_windmere-state-ravens|men_GULL_gulliford-university-sabers|men_DUNM_dunmore-foxes
u_000033,benchmob_nerd2579,men_TIDE_tidewater-tech-cyclones,men_TIDE_tidewater-tech-cyclones|men_MARB_marbury-state-comets|men_INGL_inglewood-bay-college-mariners
u_000034,courtside_fan6460,men_TIDE_tidewater-tech-cyclones,men_TIDE_tidewater-tech-cyclones|men_MARB_marbury-state-comets|men_INGL_inglewood-bay-college-mariners
u_000035,crossover_guy3376,men_GULL_gulliford-university-sabers,men_GULL_gulliford-university-sabers|men_DUNM_dunmore-foxes|men_WIND_windmere-state-ravens
u_000036,buckets_enjoyer3842,men_JUNI_juniper-ridge-a-m-timberwolves,men_JUNI_juniper-ridge-a-m-timberwolves|men_LAKE_lakeshore-poly-ironmen|men_TIDE_tidewater-tech-cyclones|men_INGL_inglewood-bay-college-mariners|men_MARB_marbury-state-comets
u_000037,shotclock_enjoyer3761,men_DUNM_dunmore-foxes,men_DUNM_dunmore-foxes|men_GULL_gulliford-university-sabers|men_WIND_windmere-state-ravens
u_000038,pickandroll_analyst8983,men_LAKE_lakeshore-poly-ironmen,men_LAKE_lakeshore-poly-ironmen|men_JUNI_juniper-ridge-a-m-timberwolves
u_000039,swish_nerd5985,men_LAKE_lakeshore-poly-ironmen,men_LAKE_lakeshore-poly-ironmen|men_JUNI_juniper-ridge-a-m-timberwolves
u_000040,midrange_watcher7912,men_INGL_inglewood-bay-college-mariners,men_INGL_inglewood-bay-college-mariners|men_MARB_marbury-state-comets|men_TIDE_tidewater-tech-cyclones
u_000041,freethrow_fan9576,men_GULL_gulliford-university-sabers,men_GULL_gulliford-university-sabers|men_DUNM_dunmore-foxes|men_WIND_windmere-state-ravens
u_000042,rimrun_watcher2802,men_INGL_inglewood-bay-college-mariners,men_INGL_inglewood-bay-college-mariners|men_MARB_marbury-state-comets|men_TIDE_tidewater-tech-cyclones
u_000043,hardwood_watcher8199,men_MARB_marbury-state-comets,men_MARB_marbury-state-comets|men_INGL_inglewood-bay-college-mariners|men_TIDE_tidewater-tech-cyclones
u_000044,transitionD_nerd6128,men_DUNM_dunmore-foxes,men_DUNM_dunmore-foxes|men_WIND_windmere-state-ravens|men_GULL_gulliford-university-sabers
u_000045,benchmob_poster7423,men_MARB_marbury-state-comets,men_MARB_marbury-state-comets|men_TIDE_tidewater-tech-cyclones|men_INGL_inglewood-bay-college-mariners
